CAPS2				
RPL41				
CENPK				
ABCD2				
PFDN5				
ANXA1				
JRKL				
LPAL2				
ZNF415				
RGPD6				
CMAHP				
