Metrica_Estrutural	Kruskal_Wallis_H	Kruskal_Wallis_p	Mediana_Benigna	Mediana_Ambigua	Mediana_Patogenica	Media_Benigna	Media_Ambigua	Media_Patogenica	Dunn_p_Pat_vs_Ben	Dunn_p_Pat_vs_Amb	Dunn_p_Amb_vs_Ben	Status_Intermediario_Ambiguo
RIN_Betweenness	38.08296362980412	5.3751367849050655e-09	0.007668	0.008121	0.008476	0.0346245846404964	0.028747324702800725	0.024578752643856918	3.941826543514861e-09	0.3027447703897507	0.04889219042282063	True
RIN_Degree	31349.318209810426	0.0	8.0	10.0	11.0	8.072514267853629	9.757975686748606	10.933761016070504	0.0	0.0	0.0	True
RIN_Closeness	3213.8190049763334	0.0	0.0767505	0.0895645	0.090521	0.0875500108354653	0.10193021808046208	0.10473993234836702	0.0	0.0004839503063824171	7.729943195584131e-226	True
AlphaFold_pLDDT	19746.276245234534	0.0	83.0	91.12	93.06	71.7701471933135	81.136560883874	85.86220580611716	0.0	4.006149444376318e-196	0.0	True
